fee_id,related_txn_ids,amount,type
FEE4001,TXN1026;TXN1027;TXN1028,427.8,platform_fee
FEE4002,TXN1029;TXN1030;TXN1031,478.6,platform_fee
FEE4003,TXN1032;TXN1033;TXN1034,401.0,platform_fee
FEE4004,TXN1035;TXN1036,250.2,platform_fee
FEE4005,TXN1037;TXN1038;TXN1039,326.4,platform_fee
FEE4006,TXN1040;TXN1041;TXN1042,394.8,platform_fee
FEE4007,TXN1043;TXN1044;TXN1045,204.4,platform_fee
FEE4008,TXN1046;TXN1047;TXN1048,155.8,platform_fee
FEE4009,TXN1069,148.58,platform_fee
FEE4010,TXN1070,95.38,platform_fee
FEE4011,TXN1071,45.38,platform_fee
FEE4012,TXN1072,125.18,platform_fee
FEE4013,TXN1073,73.98,platform_fee
FEE4014,TXN1074,187.58,platform_fee
FEE4015,TXN1120;TXN1121;TXN1122,200,platform_fee
FEE4016,TXN1123;TXN1124;TXN1125,200,platform_fee
FEE4017,TXN1126;TXN1127;TXN1128,200,platform_fee
FEE4018,TXN1129;TXN1130;TXN1131,200,platform_fee
