case_ref,transaction_ids,settlement_ids,refund_ids,fee_ids,match_method,evidence,confidence,decision,reasoning,audit_trail
REC0001,TXN1001,SET2001,,,layer1_exact,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,100.0,AUTO_MATCHED,Resolved by Layer 1: unique exact amount+merchant+date match.,Layer 1: Unique exact amount+merchant+date-window match.
REC0002,TXN1002,SET2002,,,layer1_exact,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,100.0,AUTO_MATCHED,Resolved by Layer 1: unique exact amount+merchant+date match.,Layer 1: Unique exact amount+merchant+date-window match.
REC0003,TXN1003,SET2003,,,layer1_exact,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,100.0,AUTO_MATCHED,Resolved by Layer 1: unique exact amount+merchant+date match.,Layer 1: Unique exact amount+merchant+date-window match.
REC0004,TXN1004,SET2004,,,layer1_exact,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,100.0,AUTO_MATCHED,Resolved by Layer 1: unique exact amount+merchant+date match.,Layer 1: Unique exact amount+merchant+date-window match.
REC0005,TXN1005,SET2005,,,layer1_exact,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,100.0,AUTO_MATCHED,Resolved by Layer 1: unique exact amount+merchant+date match.,Layer 1: Unique exact amount+merchant+date-window match.
REC0006,TXN1006,SET2006,,,layer1_exact,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,100.0,AUTO_MATCHED,Resolved by Layer 1: unique exact amount+merchant+date match.,Layer 1: Unique exact amount+merchant+date-window match.
REC0007,TXN1007,SET2007,,,layer1_exact,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,100.0,AUTO_MATCHED,Resolved by Layer 1: unique exact amount+merchant+date match.,Layer 1: Unique exact amount+merchant+date-window match.
REC0008,TXN1008,SET2008,,,layer1_exact,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,100.0,AUTO_MATCHED,Resolved by Layer 1: unique exact amount+merchant+date match.,Layer 1: Unique exact amount+merchant+date-window match.
REC0009,TXN1009,SET2009,,,layer1_exact,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,100.0,AUTO_MATCHED,Resolved by Layer 1: unique exact amount+merchant+date match.,Layer 1: Unique exact amount+merchant+date-window match.
REC0010,TXN1010,SET2010,,,layer1_exact,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,100.0,AUTO_MATCHED,Resolved by Layer 1: unique exact amount+merchant+date match.,Layer 1: Unique exact amount+merchant+date-window match.
REC0011,TXN1011,SET2011,,,layer1_exact,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,100.0,AUTO_MATCHED,Resolved by Layer 1: unique exact amount+merchant+date match.,Layer 1: Unique exact amount+merchant+date-window match.
REC0012,TXN1012,SET2012,,,layer1_exact,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,100.0,AUTO_MATCHED,Resolved by Layer 1: unique exact amount+merchant+date match.,Layer 1: Unique exact amount+merchant+date-window match.
