settlement_id,amount,date,merchant_name
SET2001,7160,2026-09-06,Swiggy
SET2002,8650,2026-09-09,BookMyShow
SET2003,6490,2026-09-09,BookMyShow
SET2004,5040,2026-09-07,Nykaa
SET2005,2770,2026-09-12,Myntra
SET2006,8530,2026-09-04,Uber
SET2007,2000,2026-09-06,PVR Cinemas
SET2008,660,2026-09-04,PVR Cinemas
SET2009,6870,2026-09-05,Flipkart
SET2010,6890,2026-09-03,Amazon Marketplace India
SET2011,4800,2026-09-12,Nykaa
SET2012,3610,2026-09-03,Myntra
SET2013,4740,2026-09-07,Myntra
SET2014,4940,2026-09-06,Swiggy
SET2015,3680,2026-09-12,PVR Cinemas
SET2016,9710,2026-09-04,Bigtree Entertainment (BMS)
SET2017,8070,2026-09-05,ANI Technologies (Ola)
SET2018,6550,2026-09-04,Myntra Designs
SET2019,3490,2026-09-07,Myntra Designs
SET2020,4240,2026-09-04,Uber India Systems
SET2021,3220,2026-09-09,Big Bazaar Retail
SET2022,8110,2026-09-11,PVR Ltd
SET2023,5720,2026-09-04,Uber India Systems
SET2024,7790,2026-09-08,Bigtree Entertainment (BMS)
SET2025,6770,2026-09-04,AMZN Mktp IN
SET2026,20962.2,2026-09-03,PVR Cinemas
SET2027,23451.4,2026-09-10,BookMyShow
SET2028,19649.0,2026-09-10,Swiggy
SET2029,12259.8,2026-09-04,PVR Cinemas
SET2030,15993.6,2026-09-10,Cafe Coffee Day
SET2031,19345.2,2026-09-08,Swiggy
SET2032,10015.6,2026-09-03,BookMyShow
SET2033,7634.2,2026-09-08,BookMyShow
SET2034,3816,2026-09-05,Myntra
SET2035,2544,2026-09-07,Myntra
SET2036,1996,2026-09-03,Swiggy
SET2037,2994,2026-09-05,Swiggy
SET2038,3596,2026-09-05,Cafe Coffee Day
SET2039,5394,2026-09-07,Cafe Coffee Day
SET2040,4365,2026-09-09,BookMyShow
SET2041,4365,2026-09-11,BookMyShow
SET2042,2760,2026-09-04,Nykaa
SET2043,2760,2026-09-06,Nykaa
SET2044,2152,2026-09-07,Cafe Coffee Day
SET2045,3228,2026-09-09,Cafe Coffee Day
SET2046,1005,2026-09-08,Big Bazaar
SET2047,7184,2026-09-09,Nykaa
SET2048,3227,2026-09-09,Flipkart
SET2049,3262,2026-09-07,Swiggy
SET2050,6632,2026-09-07,BookMyShow
SET2051,1841,2026-09-07,Cafe Coffee Day
SET2052,6083,2026-09-08,Amazon Marketplace India
SET2053,5929,2026-09-07,Ola
SET2054,4656,2026-09-10,Big Bazaar
SET2055,5928,2026-09-06,Cafe Coffee Day
SET2056,3144,2026-09-03,Big Bazaar
SET2057,5988,2026-09-09,Cafe Coffee Day
SET2058,3995,2026-09-03,Nykaa
SET2059,3195,2026-09-08,Uber
SET2060,7281.42,2026-09-10,Swiggy
SET2061,4674.62,2026-09-05,Cafe Coffee Day
SET2062,2224.62,2026-09-05,PVR Cinemas
SET2063,6134.82,2026-09-07,Nykaa
SET2064,3626.02,2026-09-09,Uber
SET2065,9192.42,2026-09-09,Ola
SET2066,8720,2026-09-10,PVR Cinemas
SET2067,3510,2026-09-04,Uber
SET2068,3120,2026-09-04,Flipkart
SET2069,9490,2026-09-04,PVR Cinemas
SET2070,6250,2026-09-07,Cafe Coffee Day
SET2071,7840,2026-09-03,Ola
SET2072,3010,2026-09-09,Ola
SET2073,5310,2026-09-09,BookMyShow
SET2074,780,2026-09-04,Amazon Marketplace India
SET2075,3830,2026-09-05,Nykaa
SET2076,8250,2026-09-07,PVR Cinemas
SET2077,3800,2026-09-03,Unknown Merchant 60
SET2078,8950,2026-09-05,Unknown Merchant 10
SET2079,8430,2026-09-08,Unknown Merchant 76
SET2080,4640,2026-09-09,Unknown Merchant 89
SET2081,6790,2026-09-10,Unknown Merchant 39
SET2082,2070,2026-09-09,Unknown Merchant 62
SET2083,3630,2026-09-09,Nykaa
SET2084,6350,2026-09-10,Cafe Coffee Day
SET2085,2510,2026-09-11,Myntra
SET2086,1260,2026-09-10,Amazon Marketplace India
SET2087,5570,2026-09-11,BookMyShow
SET2088,3400,2026-09-07,BookMyShow
SET2089,830,2026-09-07,Nykaa
SET2090,5130,2026-09-04,Nykaa
SET2091,9200,2026-09-09,PVR Cinemas
SET2092,8960,2026-09-03,Big Bazaar
SET2093,8660,2026-09-10,Swiggy
SET2094,25060,2026-09-06,Uber
SET2095,14470,2026-09-03,Nykaa
SET2096,13650,2026-09-06,PVR Cinemas
SET2097,19330,2026-09-03,Amazon Marketplace India
