txn_id,amount,date,merchant_name,customer_ref
TXN1001,7160,2026-09-04,Swiggy,ORD2940
TXN1002,8650,2026-09-07,BookMyShow,ORD4697
TXN1003,6490,2026-09-07,BookMyShow,ORD8381
TXN1004,5040,2026-09-05,Nykaa,ORD8025
TXN1005,2770,2026-09-10,Myntra,ORD1986
TXN1006,8530,2026-09-02,Uber,ORD4404
TXN1007,2000,2026-09-04,PVR Cinemas,ORD5335
TXN1008,660,2026-09-02,PVR Cinemas,ORD3573
TXN1009,6870,2026-09-03,Flipkart,ORD2229
TXN1010,6890,2026-09-01,Amazon Marketplace India,ORD7693
TXN1011,4800,2026-09-10,Nykaa,ORD8699
TXN1012,3610,2026-09-01,Myntra,ORD4792
TXN1013,4740,2026-09-05,Myntra,ORD8438
TXN1014,4940,2026-09-04,Swiggy,ORD5334
TXN1015,3680,2026-09-10,PVR Cinemas,ORD4241
TXN1016,9710,2026-09-02,BookMyShow,ORD9922
TXN1017,8070,2026-09-03,Ola,ORD5352
TXN1018,6550,2026-09-02,Myntra,ORD1977
TXN1019,3490,2026-09-05,Myntra,ORD5728
TXN1020,4240,2026-09-02,Uber,ORD8679
TXN1021,3220,2026-09-07,Big Bazaar,ORD5460
TXN1022,8110,2026-09-09,PVR Cinemas,ORD9090
TXN1023,5720,2026-09-02,Uber,ORD1653
TXN1024,7790,2026-09-06,BookMyShow,ORD5102
TXN1025,6770,2026-09-02,Amazon Marketplace India,ORD4750
TXN1026,4300,2026-09-01,PVR Cinemas,ORD1659
TXN1027,9480,2026-09-01,PVR Cinemas,ORD3870
TXN1028,7610,2026-09-01,PVR Cinemas,ORD8708
TXN1029,7740,2026-09-08,BookMyShow,ORD3973
TXN1030,7320,2026-09-08,BookMyShow,ORD8141
TXN1031,8870,2026-09-08,BookMyShow,ORD9056
TXN1032,9560,2026-09-08,Swiggy,ORD7690
TXN1033,9500,2026-09-08,Swiggy,ORD6460
TXN1034,990,2026-09-08,Swiggy,ORD6260
TXN1035,6620,2026-09-02,PVR Cinemas,ORD6403
TXN1036,5890,2026-09-02,PVR Cinemas,ORD7744
TXN1037,4190,2026-09-08,Cafe Coffee Day,ORD7561
TXN1038,7620,2026-09-08,Cafe Coffee Day,ORD1601
TXN1039,4510,2026-09-08,Cafe Coffee Day,ORD8451
TXN1040,6840,2026-09-06,Swiggy,ORD6296
TXN1041,4850,2026-09-06,Swiggy,ORD2899
TXN1042,8050,2026-09-06,Swiggy,ORD7622
TXN1043,1030,2026-09-01,BookMyShow,ORD7770
TXN1044,8510,2026-09-01,BookMyShow,ORD1888
TXN1045,680,2026-09-01,BookMyShow,ORD4073
TXN1046,880,2026-09-06,BookMyShow,ORD8242
TXN1047,4000,2026-09-06,BookMyShow,ORD1845
TXN1048,2910,2026-09-06,BookMyShow,ORD4335
TXN1049,6360,2026-09-03,Myntra,ORD8941
TXN1050,4990,2026-09-01,Swiggy,ORD4920
TXN1051,8990,2026-09-03,Cafe Coffee Day,ORD1224
TXN1052,8730,2026-09-07,BookMyShow,ORD2858
TXN1053,5520,2026-09-02,Nykaa,ORD9165
TXN1054,5380,2026-09-05,Cafe Coffee Day,ORD5479
TXN1055,1340,2026-09-04,Big Bazaar,ORD4993
TXN1056,8980,2026-09-05,Nykaa,ORD7284
TXN1057,4610,2026-09-05,Flipkart,ORD3236
TXN1058,4350,2026-09-03,Swiggy,ORD6568
TXN1059,8290,2026-09-03,BookMyShow,ORD5634
TXN1060,2630,2026-09-03,Cafe Coffee Day,ORD9022
TXN1061,8690,2026-09-04,Amazon Marketplace India,ORD8935
TXN1062,8470,2026-09-03,Ola,ORD9903
TXN1063,7760,2026-09-08,Big Bazaar,ORD4090
TXN1064,9880,2026-09-04,Cafe Coffee Day,ORD4826
TXN1065,5240,2026-09-01,Big Bazaar,ORD8749
TXN1066,9980,2026-09-07,Cafe Coffee Day,ORD3492
TXN1067,7990,2026-09-01,Nykaa,ORD9229
TXN1068,6390,2026-09-06,Uber,ORD8213
TXN1069,7430,2026-09-08,Swiggy,ORD1251
TXN1070,4770,2026-09-03,Cafe Coffee Day,ORD7717
TXN1071,2270,2026-09-03,PVR Cinemas,ORD2225
TXN1072,6260,2026-09-05,Nykaa,ORD6546
TXN1073,3700,2026-09-07,Uber,ORD2315
TXN1074,9380,2026-09-07,Ola,ORD6188
TXN1075,8720,2026-09-08,PVR Cinemas,ORD9864
TXN1076,8720,2026-09-08,PVR Cinemas,ORD1588
TXN1077,3510,2026-09-02,Uber,ORD4846
TXN1078,3510,2026-09-02,Uber,ORD5708
TXN1079,3120,2026-09-02,Flipkart,ORD8110
TXN1080,3120,2026-09-02,Flipkart,ORD2612
TXN1081,9490,2026-09-02,PVR Cinemas,ORD8269
TXN1082,9490,2026-09-02,PVR Cinemas,ORD3725
TXN1083,6250,2026-09-05,Cafe Coffee Day,ORD1474
TXN1084,6250,2026-09-05,Cafe Coffee Day,ORD1753
TXN1085,7840,2026-09-01,Ola,ORD5806
TXN1086,7840,2026-09-01,Ola,ORD6873
TXN1087,3010,2026-09-07,Ola,ORD3385
TXN1088,3010,2026-09-07,Ola,ORD5000
TXN1089,5310,2026-09-07,BookMyShow,ORD3950
TXN1090,5310,2026-09-07,BookMyShow,ORD3785
TXN1091,780,2026-09-02,Amazon Marketplace India,ORD7267
TXN1092,780,2026-09-02,Amazon Marketplace India,ORD4945
TXN1093,3830,2026-09-03,Nykaa,ORD4804
TXN1094,3830,2026-09-03,Nykaa,ORD8555
TXN1095,8250,2026-09-05,PVR Cinemas,ORD8529
TXN1096,8250,2026-09-05,PVR Cinemas,ORD5183
TXN1097,3790,2026-09-07,Zomato,ORD5497
TXN1098,7010,2026-09-01,Zomato,ORD9138
TXN1099,4220,2026-09-04,Myntra,ORD6772
TXN1100,740,2026-09-04,Flipkart,ORD5106
TXN1101,4150,2026-09-03,PVR Cinemas,ORD2591
TXN1102,510,2026-09-01,PVR Cinemas,ORD6061
TXN1103,3630,2026-09-01,Nykaa,ORD6977
TXN1104,6350,2026-09-02,Cafe Coffee Day,ORD2476
TXN1105,2510,2026-09-03,Myntra,ORD7807
TXN1106,1260,2026-09-02,Amazon Marketplace India,ORD3165
TXN1107,5570,2026-09-03,BookMyShow,ORD9697
TXN1108,3400,2026-09-05,BookMyShow,ORD3695
TXN1109,3410,2026-09-05,BookMyShow Pvt Ltd,ORD5210
TXN1110,830,2026-09-05,Nykaa,ORD6549
TXN1111,840,2026-09-05,Nykaa Pvt Ltd,ORD2886
TXN1112,5130,2026-09-02,Nykaa,ORD3306
TXN1113,5140,2026-09-02,Nykaa Pvt Ltd,ORD4696
TXN1114,9200,2026-09-07,PVR Cinemas,ORD6992
TXN1115,9210,2026-09-07,PVR Cinemas Pvt Ltd,ORD2479
TXN1116,8960,2026-09-01,Big Bazaar,ORD5332
TXN1117,8970,2026-09-01,Big Bazaar Pvt Ltd,ORD9791
TXN1118,8660,2026-09-08,Swiggy,ORD7038
